url,num
www.tvguide.com,16
www.jpost.com,11
www.buzzfeednews.com,23
www.newsmax.com,35
www.cantondailyledger.com,13
rollingout.com,31
www.stjamesnews.com,11
www.mtshastanews.com,13
etcanada.com,74
www.cnsnews.com,13
www.tvinsider.com,12
www.newser.com,32
atlantablackstar.com,33
www.thejakartapost.com,11
wtop.com,87
www.business-standard.com,12
www.ntd.com,42
news.avclub.com,15
www.huffingtonpost.com,20
www.mcall.com,12
www.mediaite.com,62
www.sohh.com,33
northeastnow.com,36
www.staradvertiser.com,25
www.uticaod.com,17
www.realclearpolitics.com,23
www.sott.net,15
www.thehollywoodgossip.com,35
www.thefader.com,11
bossip.com,29
dailypundit.com,11
www.marketscreener.com,11
www.indiewire.com,14
popculture.com,100
www.winnipegfreepress.com,47
www.essence.com,25
www.enterprisenews.com,16
www.deseretnews.com,23
www.ctvnews.ca,45
www.dailysignal.com,13
www.heraldsun.com.au,11
abcnews.go.com,54
www.queerty.com,46
www.rushlimbaugh.com,16
www.mrctv.org,24
www.dailydot.com,11
www.bcdemocratonline.com,13
www.agjournalonline.com,14
www.fox4news.com,20
www.masslive.com,16
www.olisa.tv,17
chinapost.nownews.com,44
londonglossy.com,12
www.lewrockwell.com,15
www.baltimoresun.com,11
www.theguardian.com,26
www.thescottishsun.co.uk,29
metro.co.uk,104
www.timeslive.co.za,13
www.belfasttelegraph.co.uk,18
www.metrowestdailynews.com,18
www.vibe.com,28
www.thewrap.com,90
www.twincities.com,16
globalnews.ca,39
townhall.com,46
www.castanet.net,17
uk.reuters.com,23
www.washingtonexaminer.com,61
www.eurweb.com,74
